,AAPL,GOOG,MSFT
2025-01-21 19:18:00+00:00,221.1584930419922,200.8000946044922,
2025-01-21 19:19:00+00:00,221.1649932861328,200.8300018310547,
2025-01-21 19:20:00+00:00,221.19760131835938,200.79750061035156,
2025-01-21 19:21:00+00:00,221.2550048828125,200.7700958251953,
2025-01-21 19:22:00+00:00,221.27999877929688,200.75,
2025-01-21 19:23:00+00:00,221.22000122070312,200.67999267578125,
2025-01-21 19:24:00+00:00,221.22999572753906,200.59500122070312,
2025-01-21 19:25:00+00:00,221.49000549316406,200.60000610351562,
2025-01-21 19:26:00+00:00,221.63999938964844,200.6699981689453,
2025-01-21 19:27:00+00:00,221.64999389648438,200.5924072265625,
2025-01-21 19:28:00+00:00,221.61000061035156,200.53500366210938,
2025-01-21 19:29:00+00:00,221.60989379882812,200.5460968017578,
2025-01-21 19:30:00+00:00,221.47999572753906,200.38589477539062,
2025-01-21 19:31:00+00:00,221.38999938964844,200.41000366210938,
2025-01-21 19:32:00+00:00,221.39999389648438,200.39999389648438,
2025-01-21 19:33:00+00:00,221.38999938964844,200.55999755859375,
2025-01-21 19:34:00+00:00,221.29049682617188,200.59500122070312,
2025-01-21 19:35:00+00:00,221.1999969482422,200.61050415039062,
2025-01-21 19:36:00+00:00,220.78500366210938,200.60389709472656,
2025-01-21 19:37:00+00:00,220.7104949951172,200.46800231933594,
2025-01-21 19:38:00+00:00,220.72999572753906,200.48500061035156,
2025-01-21 19:39:00+00:00,220.72999572753906,200.50799560546875,
2025-01-21 19:40:00+00:00,220.8988037109375,200.6300048828125,
2025-01-21 19:41:00+00:00,220.85000610351562,200.55999755859375,
2025-01-21 19:42:00+00:00,220.7050018310547,200.4199981689453,
2025-01-21 19:43:00+00:00,220.77000427246094,200.52499389648438,
2025-01-21 19:44:00+00:00,220.63499450683594,200.49569702148438,
2025-01-21 19:45:00+00:00,220.44000244140625,200.50999450683594,
2025-01-21 19:46:00+00:00,220.52000427246094,200.46499633789062,
2025-01-21 19:47:00+00:00,220.6300048828125,200.45350646972656,
2025-01-21 19:48:00+00:00,220.55999755859375,200.4499969482422,
2025-01-21 19:49:00+00:00,220.5850067138672,200.50999450683594,
2025-01-21 19:50:00+00:00,220.61000061035156,200.4987030029297,
2025-01-21 19:51:00+00:00,220.6490020751953,200.5800018310547,
2025-01-21 19:52:00+00:00,220.61500549316406,200.51589965820312,
2025-01-21 19:53:00+00:00,220.7100067138672,200.5500030517578,
2025-01-21 19:54:00+00:00,220.81700134277344,200.60000610351562,
2025-01-21 19:55:00+00:00,220.92799377441406,200.72000122070312,
2025-01-21 19:56:00+00:00,220.9949951171875,200.72000122070312,
2025-01-21 19:57:00+00:00,221.03070068359375,200.74090576171875,
2025-01-21 19:58:00+00:00,221.0800018310547,200.718994140625,
2025-01-21 19:59:00+00:00,221.12030029296875,200.697998046875,
2025-01-21 20:00:00+00:00,221.07009887695312,200.64999389648438,
2025-01-21 20:01:00+00:00,220.47000122070312,200.72000122070312,
2025-01-21 20:02:00+00:00,220.6199951171875,200.72000122070312,
2025-01-21 20:03:00+00:00,220.83999633789062,200.7220001220703,
2025-01-21 20:04:00+00:00,220.89999389648438,200.6750030517578,
2025-01-21 20:05:00+00:00,221.1199951171875,200.75999450683594,
2025-01-21 20:06:00+00:00,221.1699981689453,200.63999938964844,
2025-01-21 20:07:00+00:00,221.25,200.64599609375,
2025-01-21 20:08:00+00:00,221.27000427246094,200.67999267578125,
2025-01-21 20:09:00+00:00,221.37539672851562,200.68499755859375,
2025-01-21 20:10:00+00:00,221.27000427246094,200.61500549316406,
2025-01-21 20:11:00+00:00,221.22569274902344,200.6199951171875,
2025-01-21 20:12:00+00:00,221.22999572753906,200.50010681152344,
2025-01-21 20:13:00+00:00,221.25999450683594,200.52999877929688,
2025-01-21 20:14:00+00:00,221.36000061035156,200.50999450683594,
2025-01-21 20:15:00+00:00,221.36000061035156,200.44000244140625,
2025-01-21 20:16:00+00:00,221.41000366210938,200.48500061035156,
2025-01-21 20:17:00+00:00,221.47999572753906,200.47000122070312,
2025-01-21 20:18:00+00:00,221.5399932861328,200.36000061035156,
2025-01-21 20:19:00+00:00,221.42990112304688,200.3000030517578,
2025-01-21 20:20:00+00:00,221.35000610351562,200.36500549316406,
2025-01-21 20:21:00+00:00,221.49000549316406,200.43499755859375,
2025-01-21 20:22:00+00:00,221.4300994873047,200.35000610351562,
2025-01-21 20:23:00+00:00,221.3300018310547,200.35499572753906,
2025-01-21 20:24:00+00:00,221.42999267578125,200.35000610351562,
2025-01-21 20:25:00+00:00,221.4199981689453,200.43499755859375,
2025-01-21 20:26:00+00:00,221.37049865722656,200.52000427246094,
2025-01-21 20:27:00+00:00,221.52679443359375,200.5399932861328,
2025-01-21 20:28:00+00:00,221.56759643554688,200.55999755859375,
2025-01-21 20:29:00+00:00,221.64990234375,200.57260131835938,
2025-01-21 20:30:00+00:00,221.6199951171875,200.5,
2025-01-21 20:31:00+00:00,221.69949340820312,200.4550018310547,
2025-01-21 20:32:00+00:00,221.72000122070312,200.36439514160156,
2025-01-21 20:33:00+00:00,221.77020263671875,200.4600067138672,
2025-01-21 20:34:00+00:00,221.47999572753906,200.44000244140625,
2025-01-21 20:35:00+00:00,221.52999877929688,200.4600067138672,
2025-01-21 20:36:00+00:00,221.42469787597656,200.34500122070312,
2025-01-21 20:37:00+00:00,221.40499877929688,200.25999450683594,
2025-01-21 20:38:00+00:00,221.47999572753906,200.3300018310547,
2025-01-21 20:39:00+00:00,221.58399963378906,200.2949981689453,
2025-01-21 20:40:00+00:00,221.6927947998047,200.2050018310547,
2025-01-21 20:41:00+00:00,221.6300048828125,200.22999572753906,
2025-01-21 20:42:00+00:00,221.5500030517578,200.2100067138672,
2025-01-21 20:43:00+00:00,221.48570251464844,200.1199951171875,
2025-01-21 20:44:00+00:00,221.5500030517578,200.19000244140625,
2025-01-21 20:45:00+00:00,221.60000610351562,200.19859313964844,
2025-01-21 20:46:00+00:00,221.63360595703125,200.3699951171875,
2025-01-21 20:47:00+00:00,221.66000366210938,200.25,
2025-01-21 20:48:00+00:00,221.8350067138672,200.1999969482422,
2025-01-21 20:49:00+00:00,221.94000244140625,200.2100067138672,
2025-01-21 20:50:00+00:00,221.97999572753906,200.02000427246094,
2025-01-21 20:51:00+00:00,221.97500610351562,199.80999755859375,
2025-01-21 20:52:00+00:00,222.22999572753906,199.6199951171875,
2025-01-21 20:53:00+00:00,222.2899932861328,199.69000244140625,
2025-01-21 20:54:00+00:00,222.4600067138672,199.94000244140625,
2025-01-21 20:55:00+00:00,222.58799743652344,199.55999755859375,
2025-01-21 20:56:00+00:00,222.67999267578125,199.67999267578125,
2025-01-21 20:57:00+00:00,222.6688995361328,199.6300048828125,
2025-01-21 20:58:00+00:00,222.72000122070312,199.60000610351562,
2025-01-21 20:59:00+00:00,222.66000366210938,199.61000061035156,
